P0,ndot,tads,alpha,beta,PI,Pl,productivity,energy,purity,recovery
100146.484375,1.441162109375,376.591796875,0.20532226562500003,0.28911132812500007,12299.598217010498,7261.71875,7.010294286363224e-5,280.04735511764204,0.24165925958328796,1.0051814041707452
100219.7265625,0.9705810546875,309.6044921875,0.32404785156250004,0.19587402343750002,47006.895899772644,7884.765625,6.913994770373114e-5,327.1768384751543,0.19247911530881426,1.0051265343267695
100439.453125,1.064697265625,212.236328125,0.24604492187500002,0.26713867187500007,18776.16262435913,8753.90625,8.819937751276402e-5,309.4826912597824,0.18857159941184884,1.0058152851858546
100732.421875,0.688232421875,239.130859375,0.25161132812500003,0.3951660156250001,33195.40739059448,4277.34375,8.782589580791059e-5,456.5654150090977,0.1746244224087294,1.005159514303616
100805.6640625,1.7235107421875,340.8154296875,0.22150878906250002,0.11325683593750001,19775.334239006042,4900.390625,8.397582621470831e-5,338.68300471780395,0.23245129757188562,1.0050701682904193
101025.390625,1.817626953125,94.697265625,0.292333984375,0.34858398437500004,27757.3561668396,3769.53125,0.0002108950226799394,487.496464459377,0.17346494372089052,1.0051822210451153
101098.6328125,0.5941162109375,165.8349609375,0.17844238281250002,0.1428466796875,24104.241251945496,3392.578125,0.0001224862015538889,515.5022559376674,0.16306489166088636,1.0049885872886468
101318.359375,1.060302734375,117.607421875,0.337744140625,0.17075195312500002,50141.97492599487,4605.46875,0.00017376322375068764,466.5253020108295,0.16398507711165075,1.0050499032784415
101391.6015625,1.5272216796875,228.5888671875,0.1517822265625,0.34001464843750007,6803.728938102722,4228.515625,9.880780767937278e-5,381.00045149203135,0.21190506906223958,1.0051407115696764
101611.328125,1.433837890625,303.876953125,0.38081054687500004,0.12299804687500002,44632.508754730225,3097.65625,9.50930420247958e-5,501.3605882628365,0.1913481720081414,1.0050967144524963
101684.5703125,1.1536865234375,360.4052734375,0.11105957031250001,0.3660888671875,12176.358103752136,3720.703125,6.830537731355698e-5,371.51416147126804,0.226867431099885,1.0051185807128329
101904.296875,1.807373046875,150.146484375,0.12153320312500002,0.22055664062500002,19067.431926727295,7621.09375,0.00012249032813233549,296.36959531889767,0.20460474973982823,1.0047145018443573
101977.5390625,0.7801513671875,89.7998046875,0.3867431640625001,0.27614746093750003,37436.05124950409,7244.140625,0.000215596984166471,397.8469151087936,0.15783728776440295,1.0058717091165221
102197.265625,0.686767578125,356.337890625,0.164599609375,0.18569335937500003,24295.75490951538,8113.28125,5.493645284385004e-5,302.8714579804728,0.19461342607956425,1.0052020241996404
102270.5078125,1.9007568359375,244.1943359375,0.34602050781250004,0.31745605468750004,33155.04539012909,8736.328125,9.929008696094479e-5,298.8956988868462,0.2172435254163176,1.005319843539689
102490.234375,0.562255859375,187.998046875,0.3951660156250001,0.3570800781250001,15131.370067596436,9949.21875,0.00010692994008873557,332.8044672507954,0.16353322310964835,1.0081466093195384
102563.4765625,1.9666748046875,131.6357421875,0.1342041015625,0.15134277343750002,43936.78176403046,9322.265625,0.0001348538714975681,272.87880504779304,0.2014529300752041,1.0062670044405737
102783.203125,1.685791015625,395.517578125,0.36088867187500007,0.38666992187500004,7121.804714202881,6441.40625,7.841919290732755e-5,340.05220809737267,0.23652315017705441,1.0054764873044655
102856.4453125,0.8431396484375,284.7021484375,0.1661376953125,0.1047607421875,48803.242564201355,6814.453125,7.003919761471504e-5,332.8717622894925,0.19078887285923857,1.004886815325626
103076.171875,1.309326171875,71.787109375,0.14145507812500002,0.252197265625,33062.22867965698,2964.84375,0.0002559587908669051,540.9359530238154,0.16345332677474467,1.0050120018330027
103149.4140625,1.2196044921875,184.0966796875,0.3316650390625,0.23278808593750003,23434.231638908386,2337.890625,0.00012877652361861165,576.2002222375553,0.1760580537643682,1.0052007213477496
103369.140625,0.938720703125,256.728515625,0.107177734375,0.304052734375,39653.67269515991,5457.03125,7.788962969318155e-5,356.9904753020257,0.19554071035468992,1.0047530689819917
103442.3828125,1.5902099609375,317.2412109375,0.36359863281250004,0.21081542968750003,19890.95389842987,5830.078125,8.761681448923324e-5,369.04299699421296,0.20790260901273502,1.004770372591742
103662.109375,1.939208984375,279.638671875,0.22290039062500003,0.18247070312500002,40021.5220451355,2167.96875,0.00010359749079021393,487.4323959978629,0.2222486844088567,1.0018191812990809
103735.3515625,0.5311279296875,379.9951171875,0.26662597656250003,0.31423339843750003,11825.892329216003,2541.015625,6.279315544622719e-5,548.6765512502802,0.17690680559776453,1.0053008619467403
103955.078125,0.812744140625,136.533203125,0.190966796875,0.22377929687500003,46346.17757797241,5660.15625,0.00014467148795462763,417.028592962806,0.16536828615852442,1.0049797581320978
104028.3203125,1.6575927734375,203.6865234375,0.3009033203125,0.27937011718750004,8692.120432853699,5033.203125,0.0001162958721201451,398.95242890151286,0.19564835449919601,1.0051758269785687
104248.046875,1.186279296875,333.427734375,0.30668945312500007,0.133837890625,30255.435466766357,9183.59375,6.976531037093504e-5,288.42873717754645,0.20464955268771984,1.005084548914078
104321.2890625,1.2840576171875,262.4560546875,0.2015869140625,0.3769287109375,33302.964091300964,9556.640625,7.937824105699671e-5,269.4240028090386,0.21372336788766613,1.0051187866396163
104541.015625,1.565673828125,167.744140625,0.274755859375,0.159912109375,23484.384059906006,6675.78125,0.00012412569715602756,355.2174116826334,0.18677723821188266,1.0050023121303517
